[251857.268900] usb 1-1: USB disconnect, device number 8
[251987.656702] iterate_tasks: module license 'unspecified' taints kernel.
[251987.656703] Disabling lock debugging due to kernel taint
[251987.656991] Loading Kernel Module
[251987.656992] task command: systemd, state: 1, process id: 1
[251987.656993] task command: kthreadd, state: 1, process id: 2
[251987.656993] task command: rcu_gp, state: 1026, process id: 3
[251987.656994] task command: rcu_par_gp, state: 1026, process id: 4
[251987.656995] task command: kworker/0:0H, state: 1026, process id: 6
[251987.656995] task command: mm_percpu_wq, state: 1026, process id: 8
[251987.656996] task command: ksoftirqd/0, state: 1, process id: 9
[251987.656997] task command: rcu_sched, state: 1026, process id: 10
[251987.656998] task command: migration/0, state: 1, process id: 11
[251987.656998] task command: idle_inject/0, state: 1, process id: 12
[251987.656999] task command: cpuhp/0, state: 1, process id: 14
[251987.656999] task command: cpuhp/1, state: 1, process id: 15
[251987.657000] task command: idle_inject/1, state: 1, process id: 16
[251987.657000] task command: migration/1, state: 1, process id: 17
[251987.657001] task command: ksoftirqd/1, state: 1, process id: 18
[251987.657002] task command: kworker/1:0H, state: 1026, process id: 20
[251987.657002] task command: cpuhp/2, state: 1, process id: 21
[251987.657003] task command: idle_inject/2, state: 1, process id: 22
[251987.657004] task command: migration/2, state: 1, process id: 23
[251987.657004] task command: ksoftirqd/2, state: 1, process id: 24
[251987.657005] task command: kworker/2:0H, state: 1026, process id: 26
[251987.657005] task command: cpuhp/3, state: 1, process id: 27
[251987.657006] task command: idle_inject/3, state: 1, process id: 28
[251987.657007] task command: migration/3, state: 1, process id: 29
[251987.657007] task command: ksoftirqd/3, state: 1, process id: 30
[251987.657008] task command: kworker/3:0H, state: 1026, process id: 32
[251987.657008] task command: cpuhp/4, state: 1, process id: 33
[251987.657009] task command: idle_inject/4, state: 1, process id: 34
[251987.657009] task command: migration/4, state: 1, process id: 35
[251987.657010] task command: ksoftirqd/4, state: 1, process id: 36
[251987.657011] task command: kworker/4:0H, state: 1026, process id: 38
[251987.657011] task command: cpuhp/5, state: 1, process id: 39
[251987.657012] task command: idle_inject/5, state: 1, process id: 40
[251987.657013] task command: migration/5, state: 1, process id: 41
[251987.657013] task command: ksoftirqd/5, state: 1, process id: 42
[251987.657014] task command: kworker/5:0H, state: 1026, process id: 44
[251987.657015] task command: cpuhp/6, state: 1, process id: 45
[251987.657015] task command: idle_inject/6, state: 1, process id: 46
[251987.657016] task command: migration/6, state: 1, process id: 47
[251987.657016] task command: ksoftirqd/6, state: 1, process id: 48
[251987.657017] task command: kworker/6:0H, state: 1026, process id: 50
[251987.657017] task command: cpuhp/7, state: 1, process id: 51
